name;country;gross;director;budget
American Dream;United States;;Thomas Haneke;
American Strays;United States;1910.0;Michael Covert;
Amistad;United States;44200000.0; Steven  Spielberg;36000000.0
Amityville 3-D;United States;6300000.0; Richard  Fleischer;6000000.0
Amityville 3-D;United States;6300000.0; Richard  Fleischer;6000000.0
Amityville 3-D;United States;6300000.0; Richard  Fleischer;6000000.0
Amityville Dollhouse;United States;;Steve White;
Amityville II: The Possession;Mexico;12500000.0; Damiano  Damiani;5000000.0
Amityville II: The Possession;Mexico;12500000.0; Damiano  Damiani;5000000.0
Amityville II: The Possession;Mexico;12500000.0; Damiano  Damiani;5000000.0
Amityville II: The Possession;United States;12500000.0; Damiano  Damiani;5000000.0
Amityville II: The Possession;United States;12500000.0; Damiano  Damiani;5000000.0
Amityville II: The Possession;United States;12500000.0; Damiano  Damiani;5000000.0
Amityville: A New Generation;United States;;John Murlowski;
Amityville: It's About Time;United States;;Tony Randel;
Amos & Andrew;United States;9700000.0; E.  Max  Frye;17000000.0
Amy Foster;United Kingdom;283081.0; Beeban  Kidron;
Amy Foster;United States;283081.0; Beeban  Kidron;
An Affair to Remember;United States;3850000.0; Leo  McCarey;2100000.0
An American in Paris;United States;7000000.0; Vincente  Minnelli;2700000.0
An American Werewolf in London;United Kingdom;62000000.0; John  Landis;5800000.0
An American Werewolf in London;United Kingdom;62000000.0; John  Landis;5800000.0
An American Werewolf in London;United Kingdom;62000000.0; John  Landis;5800000.0
An American Werewolf in London;United States;62000000.0; John  Landis;5800000.0
An American Werewolf in London;United States;62000000.0; John  Landis;5800000.0
An American Werewolf in London;United States;62000000.0; John  Landis;5800000.0
An Awfully Big Adventure;United Kingdom;259724.0; Mike  Newell  (director);4000000.0
An Unforgettable Summer;France;65352.0; Lucian  Pintilie;
An Unforgettable Summer;Romania;65352.0; Lucian  Pintilie;
Anaconda;United States;136800000.0; Luis  Llosa;45000000.0
Anastasia;United States;140000000.0; Don  Bluth;50000000.0
Anastasia;United States;140000000.0; Don  Bluth;50000000.0
Anastasia;United States;140000000.0; Don  Bluth;50000000.0
Anastasia;United States;140000000.0; Gary  Goldman;50000000.0
Anastasia;United States;140000000.0; Gary  Goldman;50000000.0
Anastasia;United States;140000000.0; Gary  Goldman;50000000.0
Andre;United States;16820893.0; George  T.  Miller;8000000.0
Angel and the Badman;United States;;James Edward Grant;
Angel Baby;Australia;1070726.0; Michael  Rymer;3500000.0
Angel on My Shoulder;United States;;Archie Mayo;
Angela;United States;;Rebecca Miller;
Angels & Insects;United States;3400000.0; Philip  Haas;
Angels & Insects;United Kingdom;3400000.0; Philip  Haas;
